row_number,id,year,age,race,sex,education,party_id,religious_activity,ab_any,ab_defect,ab_no_more,ab_health,ab_poor,ab_rape,ab_single,hispanic
7617,27,1977,25,White,Male,13,"Ind,Near Dem",NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA
7618,28,1977,67,White,Female,12,"Ind,Near Rep",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7619,29,1977,37,White,Male,8,Other Party,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7620,30,1977,51,White,Male,12,Not Str Democrat,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
7621,31,1977,20,White,Female,12,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7622,32,1977,48,White,Male,9,"Ind,Near Dem",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7623,33,1977,62,White,Male,9,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7624,34,1977,41,White,Female,12,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7625,35,1977,56,White,Female,12,Strong Republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
7626,36,1977,59,White,Male,16,Not Str Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7627,37,1977,26,White,Female,10,Not Str Democrat,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
7628,38,1977,34,White,Male,11,Not Str Republican,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
7629,39,1977,30,White,Female,14,Independent,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7630,40,1977,39,White,Female,10,Strong Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7631,41,1977,45,White,Female,4,Not Str Democrat,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA
7633,43,1977,26,White,Male,13,Other Party,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7634,44,1977,60,White,Female,12,Strong Republican,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7635,45,1977,29,White,Female,10,"Ind,Near Dem",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7636,46,1977,53,White,Female,11,Strong Democrat,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA
7637,47,1977,49,White,Male,11,Strong Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7638,48,1977,30,White,Female,17,Strong Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7639,49,1977,65,White,Male,9,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7640,50,1977,50,White,Female,16,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7641,51,1977,27,White,Male,12,"Ind,Near Dem",NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
7643,53,1977,20,White,Male,10,Independent,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7644,54,1977,89,White,Male,12,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7645,55,1977,62,Black,Female,12,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7646,56,1977,76,White,Male,16,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7647,57,1977,31,White,Female,18,Other Party,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7648,58,1977,19,White,Male,12,"Ind,Near Dem",NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
7649,59,1977,58,White,Female,12,Strong Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7650,60,1977,20,White,Female,12,"Ind,Near Dem",NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA
7651,61,1977,20,White,Female,13,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7652,62,1977,27,White,Male,18,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7653,63,1977,39,White,Female,12,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7654,64,1977,41,Black,Male,12,Not Str Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
7655,65,1977,62,White,Male,6,Strong Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7656,66,1977,76,White,Male,4,Not Str Republican,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
7657,67,1977,80,White,Female,8,Not Str Republican,NA,FALSE,TRUE,FALSE,TRUE,NA,TRUE,TRUE,NA
7658,68,1977,84,White,Female,14,Not Str Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7659,69,1977,73,White,Female,10,Strong Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7660,70,1977,33,White,Male,15,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7661,71,1977,48,White,Female,12,Not Str Republican,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7662,72,1977,68,Black,Male,0,Strong Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7663,73,1977,55,Black,Female,14,Not Str Democrat,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA
7664,74,1977,35,Black,Female,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7665,75,1977,27,White,Male,18,"Ind,Near Dem",NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA
7666,76,1977,27,White,Female,16,"Ind,Near Rep",NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
7667,77,1977,47,Other,Female,16,"Ind,Near Dem",NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
7668,78,1977,71,White,Female,10,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7669,79,1977,23,Black,Male,10,"Ind,Near Dem",NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
7670,80,1977,47,White,Female,12,"Ind,Near Dem",NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA
7671,81,1977,23,Black,Male,14,Strong Democrat,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA
7672,82,1977,61,White,Female,7,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7673,83,1977,53,White,Female,14,Strong Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7674,84,1977,64,White,Male,8,Not Str Democrat,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
7675,85,1977,60,White,Female,9,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7676,86,1977,23,Black,Male,11,"Ind,Near Dem",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
7677,87,1977,49,Black,Male,5,Strong Democrat,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
7678,88,1977,33,Black,Female,11,"Ind,Near Dem",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
7679,89,1977,19,Black,Male,12,Not Str Democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
7680,90,1977,49,White,Female,8,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7681,91,1977,74,White,Female,7,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7682,92,1977,62,White,Female,8,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7683,93,1977,67,White,Male,8,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7684,94,1977,79,White,Female,4,Independent,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
7685,95,1977,24,White,Female,12,Independent,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7686,96,1977,66,White,Female,12,Not Str Republican,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,NA
7687,97,1977,27,White,Male,14,Not Str Democrat,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7688,98,1977,63,White,Female,11,Strong Democrat,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7689,99,1977,59,White,Female,11,Strong Democrat,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7690,100,1977,72,White,Female,14,Not Str Republican,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7691,101,1977,30,White,Male,11,Independent,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7692,102,1977,64,White,Female,17,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7693,103,1977,35,White,Female,18,"Ind,Near Rep",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7694,104,1977,50,White,Female,13,Not Str Democrat,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7695,105,1977,30,White,Male,16,"Ind,Near Rep",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7696,106,1977,73,White,Male,NA,Strong Republican,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7697,107,1977,64,White,Female,8,Strong Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
7698,108,1977,51,White,Male,9,Strong Democrat,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
7700,110,1977,54,White,Female,10,Strong Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7701,111,1977,47,White,Female,8,Strong Democrat,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7702,112,1977,60,White,Male,10,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7703,113,1977,34,White,Female,12,Not Str Democrat,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA
7704,114,1977,20,White,Male,12,Not Str Democrat,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA
7705,115,1977,47,White,Female,12,Not Str Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7706,116,1977,37,White,Female,9,"Ind,Near Dem",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7707,117,1977,58,White,Female,12,Not Str Democrat,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NA
7708,118,1977,40,White,Female,17,"Ind,Near Rep",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7709,119,1977,40,White,Male,17,"Ind,Near Dem",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
7710,120,1977,42,White,Female,12,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7711,121,1977,32,White,Female,17,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7712,122,1977,46,White,Male,12,Not Str Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7713,123,1977,57,White,Male,16,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7714,124,1977,32,White,Male,15,Not Str Republican,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7715,125,1977,57,White,Female,11,Strong Democrat,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
7716,126,1977,20,White,Male,12,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7717,127,1977,57,White,Female,12,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7718,128,1977,47,White,Male,16,Strong Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7719,129,1977,55,Black,Male,8,Strong Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA
7720,130,1977,27,Black,Female,13,Strong Democrat,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA
7721,131,1977,56,Black,Male,12,Strong Democrat,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
7722,132,1977,34,White,Male,12,Not Str Democrat,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7723,133,1977,65,White,Female,10,"Ind,Near Dem",NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7724,134,1977,24,White,Female,13,Not Str Republican,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
7725,135,1977,83,White,Male,5,Strong Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7726,136,1977,31,White,Male,11,"Ind,Near Dem",NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
7727,137,1977,58,White,Female,8,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7728,138,1977,30,Black,Male,6,Independent,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7729,139,1977,21,White,Female,13,"Ind,Near Dem",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7730,140,1977,43,White,Male,11,Strong Democrat,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA
7731,141,1977,22,Black,Male,9,Not Str Democrat,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7732,142,1977,27,Other,Male,16,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA
7733,143,1977,42,White,Female,12,"Ind,Near Dem",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7734,144,1977,74,White,Male,16,"Ind,Near Dem",NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
7735,145,1977,55,White,Female,10,"Ind,Near Dem",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7736,146,1977,36,Black,Male,13,"Ind,Near Dem",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7737,147,1977,19,White,Male,10,"Ind,Near Rep",NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
7738,148,1977,54,White,Female,13,Independent,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA
7739,149,1977,71,White,Female,8,"Ind,Near Rep",NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7740,150,1977,30,White,Female,11,Strong Republican,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
7741,151,1977,56,White,Female,12,Not Str Republican,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
7742,152,1977,42,White,Male,12,Independent,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7743,153,1977,63,White,Female,8,Strong Democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
7744,154,1977,39,White,Male,12,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7745,155,1977,66,White,Male,14,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7746,156,1977,68,White,Female,12,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7747,157,1977,NA,White,Male,12,Independent,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
7748,158,1977,42,White,Female,12,Strong Democrat,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7749,159,1977,60,White,Male,12,Strong Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7750,160,1977,60,White,Male,7,Strong Democrat,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
7751,161,1977,32,White,Female,12,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7752,162,1977,35,White,Female,10,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7753,163,1977,22,White,Female,12,"Ind,Near Dem",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7754,164,1977,25,White,Female,12,Not Str Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7755,165,1977,25,White,Male,12,Not Str Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7756,166,1977,51,White,Male,12,Not Str Democrat,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7757,167,1977,48,White,Male,12,Independent,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7758,168,1977,35,White,Female,16,Strong Democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
7759,169,1977,31,White,Female,14,Independent,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7760,170,1977,49,White,Male,20,"Ind,Near Dem",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7761,171,1977,NA,White,Male,16,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7763,173,1977,49,White,Female,18,Independent,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7764,174,1977,59,White,Female,16,Independent,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7765,175,1977,65,White,Male,13,Strong Republican,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7766,176,1977,23,White,Female,11,"Ind,Near Dem",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7767,177,1977,69,White,Male,12,Strong Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7768,178,1977,53,White,Female,12,Strong Democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA
7769,179,1977,67,White,Female,8,Strong Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7770,180,1977,68,White,Female,8,Not Str Democrat,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7771,181,1977,46,White,Male,12,Not Str Democrat,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7772,182,1977,38,White,Male,12,Strong Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA
7773,183,1977,26,White,Female,12,"Ind,Near Rep",NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA
7774,184,1977,49,White,Male,12,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7775,185,1977,46,White,Female,14,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7776,186,1977,36,White,Male,12,Not Str Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7777,187,1977,46,White,Female,13,Strong Democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
7778,188,1977,39,White,Male,12,"Ind,Near Rep",NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
7779,189,1977,71,White,Female,6,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7780,190,1977,48,White,Male,12,Not Str Democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
7781,191,1977,70,White,Female,12,Strong Democrat,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA
7782,192,1977,75,White,Female,7,Strong Republican,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA
7783,193,1977,72,White,Female,9,Not Str Republican,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,NA
7784,194,1977,78,White,Female,12,Not Str Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,NA
7785,195,1977,20,White,Female,10,"Ind,Near Rep",NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7786,196,1977,44,White,Male,8,Strong Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,NA
7787,197,1977,47,White,Female,12,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA
7788,198,1977,26,White,Female,14,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7789,199,1977,24,White,Male,13,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7790,200,1977,29,White,Female,12,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7791,201,1977,41,White,Male,16,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7792,202,1977,30,White,Female,17,Not Str Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7793,203,1977,30,White,Female,12,Independent,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7794,204,1977,45,White,Male,12,Strong Democrat,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
7795,205,1977,33,White,Female,14,Not Str Democrat,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA
7796,206,1977,59,White,Male,9,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7797,207,1977,21,White,Male,12,"Ind,Near Dem",NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7799,209,1977,20,White,Female,12,Independent,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7800,210,1977,44,White,Male,12,Not Str Democrat,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7801,211,1977,28,White,Female,12,Not Str Republican,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
7802,212,1977,44,White,Male,12,Not Str Democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
7803,213,1977,53,White,Female,12,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
7804,214,1977,25,White,Female,14,Not Str Republican,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
