row_number,id,year,age,race,sex,education,party_id,religious_activity,ab_any,ab_defect,ab_no_more,ab_health,ab_poor,ab_rape,ab_single,hispanic,party_val
7681,91,1977,74,White,Female,7,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7682,92,1977,62,White,Female,8,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7683,93,1977,67,White,Male,8,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7684,94,1977,79,White,Female,4,Independent,NA,0,0,0,0,0,0,0,2,0
7685,95,1977,24,White,Female,12,Independent,NA,1,1,1,1,1,1,1,2,0
7687,97,1977,27,White,Male,14,Not Str Democrat,NA,1,1,0,1,0,1,0,2,-2
7688,98,1977,63,White,Female,11,Strong Democrat,NA,0,1,1,1,1,1,1,2,-3
7689,99,1977,59,White,Female,11,Strong Democrat,NA,0,1,1,1,1,1,1,2,-3
7690,100,1977,72,White,Female,14,Not Str Republican,NA,0,1,0,1,0,1,0,2,2
7691,101,1977,30,White,Male,11,Independent,NA,1,1,1,1,1,1,1,2,0
7692,102,1977,64,White,Female,17,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7693,103,1977,35,White,Female,18,"Ind,Near Rep",NA,1,1,1,1,1,1,1,2,1
7694,104,1977,50,White,Female,13,Not Str Democrat,NA,0,1,1,1,1,1,1,2,-2
7695,105,1977,30,White,Male,16,"Ind,Near Rep",NA,1,1,1,1,1,1,1,2,1
7697,107,1977,64,White,Female,8,Strong Democrat,NA,0,1,0,1,0,1,1,2,-3
7698,108,1977,51,White,Male,9,Strong Democrat,NA,0,1,0,1,1,1,0,2,-3
7700,110,1977,54,White,Female,10,Strong Democrat,NA,1,1,1,1,1,1,1,2,-3
7701,111,1977,47,White,Female,8,Strong Democrat,NA,0,1,1,1,1,1,1,2,-3
7702,112,1977,60,White,Male,10,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7703,113,1977,34,White,Female,12,Not Str Democrat,NA,0,1,1,1,0,1,0,2,-2
7704,114,1977,20,White,Male,12,Not Str Democrat,NA,0,1,1,1,0,1,1,2,-2
7705,115,1977,47,White,Female,12,Not Str Democrat,NA,0,1,0,1,0,1,0,2,-2
7706,116,1977,37,White,Female,9,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7707,117,1977,58,White,Female,12,Not Str Democrat,NA,0,1,0,1,1,0,0,2,-2
7708,118,1977,40,White,Female,17,"Ind,Near Rep",NA,1,1,1,1,1,1,1,2,1
7709,119,1977,40,White,Male,17,"Ind,Near Dem",NA,0,0,0,0,0,0,0,2,-1
7710,120,1977,42,White,Female,12,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7711,121,1977,32,White,Female,17,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7712,122,1977,46,White,Male,12,Not Str Democrat,NA,0,1,0,1,0,1,0,2,-2
7713,123,1977,57,White,Male,16,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7714,124,1977,32,White,Male,15,Not Str Republican,NA,0,1,0,1,0,1,0,2,2
7715,125,1977,57,White,Female,11,Strong Democrat,NA,0,1,0,1,1,1,0,2,-3
7716,126,1977,20,White,Male,12,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7717,127,1977,57,White,Female,12,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7718,128,1977,47,White,Male,16,Strong Republican,NA,1,1,1,1,1,1,1,2,3
7719,129,1977,55,Black,Male,8,Strong Democrat,NA,0,1,0,1,0,0,0,2,-3
7720,130,1977,27,Black,Female,13,Strong Democrat,NA,0,1,1,1,0,1,0,2,-3
7721,131,1977,56,Black,Male,12,Strong Democrat,NA,0,1,1,1,1,1,0,2,-3
7722,132,1977,34,White,Male,12,Not Str Democrat,NA,0,1,1,1,1,1,1,2,-2
7723,133,1977,65,White,Female,10,"Ind,Near Dem",NA,0,1,0,1,0,1,0,2,-1
7724,134,1977,24,White,Female,13,Not Str Republican,NA,0,1,0,0,0,0,0,2,2
7725,135,1977,83,White,Male,5,Strong Republican,NA,1,1,1,1,1,1,1,2,3
7726,136,1977,31,White,Male,11,"Ind,Near Dem",NA,0,1,0,1,1,1,1,2,-1
7727,137,1977,58,White,Female,8,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7728,138,1977,30,Black,Male,6,Independent,NA,1,1,1,1,1,1,1,2,0
7729,139,1977,21,White,Female,13,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7730,140,1977,43,White,Male,11,Strong Democrat,NA,1,1,1,0,1,1,1,2,-3
7731,141,1977,22,Black,Male,9,Not Str Democrat,NA,0,1,1,1,1,1,1,2,-2
7732,142,1977,27,Other,Male,16,Not Str Democrat,NA,1,1,1,1,0,1,1,2,-2
7733,143,1977,42,White,Female,12,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7734,144,1977,74,White,Male,16,"Ind,Near Dem",NA,0,1,1,1,1,1,0,2,-1
7735,145,1977,55,White,Female,10,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7736,146,1977,36,Black,Male,13,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7737,147,1977,19,White,Male,10,"Ind,Near Rep",NA,0,0,0,1,0,1,1,2,1
7738,148,1977,54,White,Female,13,Independent,NA,0,0,0,1,0,0,0,2,0
7739,149,1977,71,White,Female,8,"Ind,Near Rep",NA,0,1,0,1,0,1,0,2,1
7740,150,1977,30,White,Female,11,Strong Republican,NA,0,1,0,1,1,1,0,2,3
7741,151,1977,56,White,Female,12,Not Str Republican,NA,0,1,0,1,1,1,0,2,2
7742,152,1977,42,White,Male,12,Independent,NA,0,1,0,1,0,1,0,2,0
7743,153,1977,63,White,Female,8,Strong Democrat,NA,0,0,0,0,0,0,0,2,-3
7744,154,1977,39,White,Male,12,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7745,155,1977,66,White,Male,14,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7746,156,1977,68,White,Female,12,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7748,158,1977,42,White,Female,12,Strong Democrat,NA,1,0,0,1,0,1,0,2,-3
7749,159,1977,60,White,Male,12,Strong Republican,NA,1,1,1,1,1,1,1,2,3
7750,160,1977,60,White,Male,7,Strong Democrat,NA,0,1,1,1,1,1,0,2,-3
7751,161,1977,32,White,Female,12,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7752,162,1977,35,White,Female,10,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7753,163,1977,22,White,Female,12,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7754,164,1977,25,White,Female,12,Not Str Democrat,NA,0,1,0,1,0,1,0,2,-2
7755,165,1977,25,White,Male,12,Not Str Democrat,NA,0,1,0,1,0,1,0,2,-2
7756,166,1977,51,White,Male,12,Not Str Democrat,NA,0,1,1,1,1,1,1,2,-2
7757,167,1977,48,White,Male,12,Independent,NA,1,1,1,1,1,1,1,2,0
7758,168,1977,35,White,Female,16,Strong Democrat,NA,0,0,0,0,0,0,0,2,-3
7759,169,1977,31,White,Female,14,Independent,NA,1,1,1,1,1,1,1,2,0
7760,170,1977,49,White,Male,20,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7763,173,1977,49,White,Female,18,Independent,NA,1,1,1,1,1,1,1,2,0
7764,174,1977,59,White,Female,16,Independent,NA,0,1,0,1,0,1,0,2,0
7765,175,1977,65,White,Male,13,Strong Republican,NA,0,1,0,1,0,1,0,2,3
7766,176,1977,23,White,Female,11,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7767,177,1977,69,White,Male,12,Strong Democrat,NA,0,1,0,1,0,1,0,2,-3
7768,178,1977,53,White,Female,12,Strong Democrat,NA,0,0,0,0,0,1,0,2,-3
7769,179,1977,67,White,Female,8,Strong Democrat,NA,1,1,1,1,1,1,1,2,-3
7770,180,1977,68,White,Female,8,Not Str Democrat,NA,0,0,0,1,0,1,0,2,-2
7771,181,1977,46,White,Male,12,Not Str Democrat,NA,1,1,0,1,0,1,0,2,-2
7772,182,1977,38,White,Male,12,Strong Democrat,NA,0,1,0,1,0,1,1,2,-3
7773,183,1977,26,White,Female,12,"Ind,Near Rep",NA,0,0,0,1,0,0,0,2,1
7774,184,1977,49,White,Male,12,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7775,185,1977,46,White,Female,14,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7776,186,1977,36,White,Male,12,Not Str Democrat,NA,0,1,0,1,0,1,0,2,-2
7777,187,1977,46,White,Female,13,Strong Democrat,NA,0,0,0,0,0,0,0,2,-3
7778,188,1977,39,White,Male,12,"Ind,Near Rep",NA,0,1,0,1,1,1,0,2,1
7779,189,1977,71,White,Female,6,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7780,190,1977,48,White,Male,12,Not Str Democrat,NA,0,0,0,0,0,0,0,2,-2
7781,191,1977,70,White,Female,12,Strong Democrat,NA,1,1,0,1,1,1,1,2,-3
7785,195,1977,20,White,Female,10,"Ind,Near Rep",NA,0,1,0,1,0,1,0,2,1
7788,198,1977,26,White,Female,14,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7789,199,1977,24,White,Male,13,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7790,200,1977,29,White,Female,12,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7791,201,1977,41,White,Male,16,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7792,202,1977,30,White,Female,17,Not Str Democrat,NA,0,1,0,1,0,1,0,2,-2
7793,203,1977,30,White,Female,12,Independent,NA,1,1,1,1,1,1,1,2,0
7794,204,1977,45,White,Male,12,Strong Democrat,NA,0,1,0,1,1,1,0,2,-3
7795,205,1977,33,White,Female,14,Not Str Democrat,NA,0,1,0,1,0,1,0,2,-2
7796,206,1977,59,White,Male,9,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7797,207,1977,21,White,Male,12,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7799,209,1977,20,White,Female,12,Independent,NA,1,1,1,1,1,1,1,2,0
7800,210,1977,44,White,Male,12,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7801,211,1977,28,White,Female,12,Not Str Republican,NA,0,1,0,1,1,1,0,2,2
7802,212,1977,44,White,Male,12,Not Str Democrat,NA,0,0,0,0,0,0,0,2,-2
7804,214,1977,25,White,Female,14,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7805,215,1977,34,White,Male,18,Strong Democrat,NA,0,1,0,1,0,1,0,2,-3
7806,216,1977,34,White,Male,14,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7807,217,1977,49,White,Male,12,Not Str Democrat,NA,0,0,0,1,0,0,0,2,-2
7808,218,1977,41,White,Female,12,Strong Democrat,NA,0,1,0,1,0,1,0,2,-3
7809,219,1977,77,White,Male,11,"Ind,Near Rep",NA,1,1,1,1,1,1,1,2,1
7810,220,1977,35,White,Female,11,Strong Democrat,NA,0,1,0,1,0,1,0,2,-3
7811,221,1977,36,White,Male,17,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7812,222,1977,37,White,Female,12,Not Str Democrat,NA,0,1,1,1,0,1,0,2,-2
7813,223,1977,36,Black,Male,16,Not Str Democrat,NA,0,1,0,1,0,1,0,2,-2
7814,224,1977,28,White,Male,20,Not Str Democrat,NA,0,1,0,1,0,0,0,2,-2
7815,225,1977,28,Black,Male,12,Strong Democrat,NA,0,1,1,1,0,1,1,2,-3
7816,226,1977,35,White,Female,14,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7817,227,1977,48,White,Male,10,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7819,229,1977,65,White,Male,8,Strong Democrat,NA,1,1,1,1,1,1,1,2,-3
7820,230,1977,64,White,Female,8,Not Str Democrat,NA,0,0,0,0,1,1,1,2,-2
7821,231,1977,74,White,Female,6,"Ind,Near Rep",NA,0,0,0,0,0,0,0,2,1
7822,232,1977,25,White,Female,12,"Ind,Near Rep",NA,1,1,1,1,1,1,1,2,1
7824,234,1977,49,White,Female,12,Not Str Republican,NA,0,1,0,1,0,1,0,2,2
7825,235,1977,65,White,Male,17,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7826,236,1977,33,Other,Female,6,Strong Democrat,NA,1,1,1,1,1,1,1,2,-3
7827,237,1977,62,White,Female,16,Strong Democrat,NA,0,1,0,1,0,1,1,2,-3
7828,238,1977,38,White,Female,12,"Ind,Near Dem",NA,0,1,0,1,1,1,1,2,-1
7829,239,1977,30,White,Female,12,Independent,NA,0,1,0,1,0,0,0,2,0
7831,241,1977,60,White,Female,12,Not Str Democrat,NA,0,0,0,1,0,0,0,2,-2
7832,242,1977,38,White,Female,12,Strong Democrat,NA,0,1,0,1,0,1,0,2,-3
7833,243,1977,74,White,Male,6,Strong Democrat,NA,0,0,0,0,0,0,0,2,-3
7835,245,1977,27,White,Male,14,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7836,246,1977,44,White,Male,8,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7837,247,1977,48,White,Female,12,Not Str Republican,NA,0,1,0,1,0,1,0,2,2
7839,249,1977,26,White,Female,12,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7840,250,1977,41,White,Male,9,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7842,252,1977,56,White,Male,18,Not Str Democrat,NA,0,1,1,1,1,1,1,2,-2
7843,253,1977,51,White,Male,11,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7844,254,1977,33,White,Female,12,Independent,NA,1,1,1,1,1,1,1,2,0
7846,256,1977,43,White,Female,13,"Ind,Near Rep",NA,0,0,0,0,0,0,0,2,1
7848,258,1977,40,White,Female,15,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7849,259,1977,50,Black,Male,12,Strong Democrat,NA,1,0,1,1,1,1,1,2,-3
7850,260,1977,23,White,Male,13,"Ind,Near Rep",NA,1,1,1,1,1,1,1,2,1
7852,262,1977,39,White,Female,12,"Ind,Near Dem",NA,1,1,0,1,0,1,0,2,-1
7853,263,1977,56,Black,Male,11,Strong Democrat,NA,1,1,1,1,1,1,1,2,-3
7854,264,1977,25,White,Male,20,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7855,265,1977,23,White,Male,16,Strong Republican,NA,0,0,0,1,0,0,0,2,3
7857,267,1977,59,White,Male,12,"Ind,Near Rep",NA,1,1,1,1,1,1,1,2,1
7858,268,1977,48,White,Female,12,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7859,269,1977,28,White,Male,18,Strong Democrat,NA,0,0,0,1,0,0,0,2,-3
7860,270,1977,50,White,Male,11,"Ind,Near Rep",NA,0,1,0,1,1,1,1,2,1
7861,271,1977,67,White,Female,12,Strong Republican,NA,0,1,0,0,0,1,0,2,3
7862,272,1977,39,Black,Female,12,Strong Democrat,NA,0,1,1,1,0,1,0,2,-3
7863,273,1977,41,Black,Male,9,Independent,NA,1,1,1,1,1,1,1,2,0
7864,274,1977,29,Black,Female,12,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7865,275,1977,37,Black,Female,15,Strong Democrat,NA,0,1,0,1,0,1,0,2,-3
7866,276,1977,75,White,Female,8,Not Str Democrat,NA,0,1,0,1,0,1,1,2,-2
7867,277,1977,59,White,Female,16,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7868,278,1977,69,White,Female,5,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7869,279,1977,54,White,Male,20,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7870,280,1977,72,White,Female,10,Not Str Democrat,NA,0,1,1,1,1,1,1,2,-2
7871,281,1977,80,White,Female,18,Independent,NA,1,1,1,1,1,1,1,2,0
7872,282,1977,40,White,Male,18,"Ind,Near Dem",NA,1,1,1,1,1,1,1,2,-1
7873,283,1977,77,White,Male,16,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7874,284,1977,48,White,Male,12,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7875,285,1977,77,White,Female,14,Strong Democrat,NA,0,1,0,1,1,1,0,2,-3
7876,286,1977,22,Black,Female,13,Not Str Democrat,NA,0,0,0,0,0,0,0,2,-2
7877,287,1977,57,White,Female,12,Strong Democrat,NA,0,1,0,1,1,1,0,2,-3
7878,288,1977,23,White,Female,14,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7879,289,1977,30,White,Male,16,Not Str Republican,NA,0,1,0,1,1,1,0,2,2
7880,290,1977,28,Black,Female,13,Not Str Democrat,NA,1,1,1,1,0,1,0,2,-2
7882,292,1977,24,White,Female,16,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7883,293,1977,19,White,Female,15,Strong Republican,NA,0,1,1,1,1,1,1,2,3
7884,294,1977,27,White,Male,16,Strong Republican,NA,0,1,1,1,0,1,0,2,3
7885,295,1977,22,Black,Female,13,Not Str Republican,NA,0,1,0,1,1,1,0,2,2
7886,296,1977,49,Black,Male,10,Not Str Republican,NA,0,1,0,1,1,1,0,2,2
7887,297,1977,37,Black,Female,13,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7888,298,1977,19,Black,Female,11,Not Str Democrat,NA,0,1,1,1,0,0,0,2,-2
7889,299,1977,43,Black,Female,6,Not Str Democrat,NA,0,1,1,1,1,0,0,2,-2
7890,300,1977,36,Black,Female,12,Not Str Democrat,NA,0,1,0,1,0,0,0,2,-2
7891,301,1977,40,White,Female,12,Independent,NA,1,1,1,1,0,1,1,2,0
7892,302,1977,37,White,Female,12,Not Str Democrat,NA,1,1,1,1,1,1,1,2,-2
7893,303,1977,55,Other,Male,12,Strong Republican,NA,0,0,0,0,0,0,0,2,3
7894,304,1977,68,White,Female,8,Not Str Democrat,NA,0,0,0,1,0,0,0,2,-2
7895,305,1977,21,White,Female,12,Not Str Republican,NA,0,1,0,1,0,1,0,2,2
7896,306,1977,36,White,Female,14,Not Str Democrat,NA,0,1,0,1,1,1,0,2,-2
7898,308,1977,20,White,Male,14,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7899,309,1977,63,White,Male,10,Not Str Democrat,NA,0,1,0,1,0,1,0,2,-2
7900,310,1977,35,White,Female,12,Not Str Democrat,NA,0,1,0,1,0,1,0,2,-2
7901,311,1977,51,White,Female,12,Strong Republican,NA,0,1,1,1,1,1,1,2,3
7902,312,1977,35,White,Male,12,Strong Democrat,NA,0,0,0,0,0,0,0,2,-3
7903,313,1977,42,White,Female,6,Not Str Democrat,NA,1,1,0,1,0,1,1,2,-2
7904,314,1977,20,Black,Female,13,Not Str Democrat,NA,0,0,0,0,0,0,0,2,-2
7906,316,1977,45,White,Female,12,"Ind,Near Dem",NA,0,1,0,1,1,1,1,2,-1
7907,317,1977,27,White,Female,12,Not Str Democrat,NA,0,1,0,1,0,1,0,2,-2
7908,318,1977,26,White,Female,12,Independent,NA,0,1,0,1,1,1,1,2,0
7909,319,1977,39,White,Female,12,Independent,NA,0,1,0,0,0,1,0,2,0
7910,320,1977,33,White,Male,16,Not Str Democrat,NA,0,1,1,1,1,1,0,2,-2
7911,321,1977,26,White,Female,12,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7912,322,1977,37,White,Female,10,Not Str Democrat,NA,0,1,0,1,0,1,0,2,-2
7913,323,1977,42,White,Female,12,"Ind,Near Rep",NA,0,1,0,1,0,1,0,2,1
7914,324,1977,62,White,Female,12,Independent,NA,1,1,1,1,1,1,1,2,0
7916,326,1977,39,White,Female,12,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7917,327,1977,42,White,Female,12,Not Str Republican,NA,1,1,1,1,1,1,1,2,2
7918,328,1977,75,White,Female,9,Not Str Democrat,NA,0,1,1,1,0,1,0,2,-2
